,continent,hourly rate,number of people
0,Africa,18.28135135135135,407
1,Asia,13.492238131122834,2654
2,Europe,33.27130434782609,529
3,North America,48.32400211193242,947
4,Oceania,39.6375,40
5,South America,23.850294117647056,136
