,country,hourly rate,number of people
0,Bangladesh,15.844059405940595,101
1,Egypt,16.4173786407767,103
2,India,20.47987108655617,543
3,Kenya,16.65720930232558,172
4,Pakistan,16.646972789115647,294
5,Philippines,8.975057239057238,1485
6,United States,52.38019379844961,774
7,other countries,28.525471394037066,1241
